start	end	text
8	3735	Do you want me over here?
3735	7862	Yeah that's perfect.
10500	11500	Nice to meet you, Fred.
11500	12320	Very nice to meet you.
12320	13101	Thank you for being here.
13101	14041	Thanks for having me.
14041	19122	Henrik, can you just start, give us a very short round, how do you and Fred know each other?
19122	24104	So Fred and I have been friends and worked together briefly back in 2006-7.
24104	26944	I was working on a documentary about copyright.
26944	35507	Fred was working at a non-profit called Creative Commons, the licensing system that underpins things like Wikipedia.
35507	36607	And so we were in this
37307	43351	group of people that were very idealistic about the internet, and have stayed friends ever since.
43351	44312	That's perfect.
44312	47013	And you've been hanging around in Copenhagen for a couple of days?
47013	49255	Yeah, I got here a week ago, I guess.
49255	53778	And then I went to Sweden for a bit, but Henrik's given me an incredible tour.
53778	56640	We went mushroom hunting on Friday, and that was amazing.
56640	59222	And then I'm going to... In which forest was that?
59222	59822	Sysvile.
59822	60522	Sysvile, yeah.
60522	61363	Yeah, it was wonderful.
61363	64485	We got lots of chanterelles, but what was the Danish name for them?
64933	65354	Cantareller.
65354	65814	Cantareller, yeah.
65814	66555	They were amazing.
66555	67496	We cooked them that night.
67496	68196	Are they good?
68196	69137	Yeah, they were great.
69137	70278	Ah, okay, perfect.
70278	72660	And do you sleep on Henrik's sofa?
72660	74402	No, he's got an incredible guest room.
74402	77164	It was a lovely, it's been a lovely stay.
77164	79867	Som Fred fortæller her, så er han i København for at besøge mig.
79867	81228	Vi er gamle venner.
81228	83150	Vi har været ude og samlet svampe.
83150	85472	Og han bor i mit gæsteverelse i vores hus.
86120	96504	Enough with the hygge and Denmark, you've worked with artificial intelligence for so many years, first at Kickstarter, then at Y Combinator, we'll get back to that in a minute.
96504	101566	What were you trying to accomplish with AI within your career?
101566	111610	So I took a really interesting class in grad school by somebody named Dan Schiffman, courseware, he's a great teacher, and I think the class he taught was called Nature of Code.
112191	122228	and then programming A to Z, and he showed us how to build a spam filter, which sounds really boring, but it's a really interesting way to analyze large amounts of text.
122446	128331	So the spam filters we have in our Gmail, which means I don't have to look up hundreds of mails that I don't want to see.
128331	128731	Exactly.
128731	140059	It's a powerful mathematical algorithm that goes back to probability theory that can analyze an email really quickly and say, it's more likely than not that this email is spam.
140059	142741	So I learned how to do some of that math.
142741	146444	And a couple of years later, I found myself at Kickstarter.
146444	150047	I was the second employee there, and just trying to make myself useful at a startup.
151568	159970	take on interesting projects, and do everything from look at our analytics, to answer queries from the database, to build a little bit of code.
159970	163991	And I picked up a, in America, they called it nights and weekends project.
163991	165591	I don't know if that's a phrase here.
165591	166352	It's probably.
166352	167572	No, we take the weekends off here.
167572	167752	I know.
167752	168432	It's like probably.
168432	169492	Yeah, we don't know that, yeah.
169492	170733	We have no age comps.
170733	170853	Yes.
172413	175835	Fred studied at the university and wrote code.
175835	187103	He was interested in, among other things, a course he took at the university, how spam filters work, and how to use algorithms and mathematical analysis of text.
187103	192567	He basically learned to write things that could figure out whether an email was in order or not.
193712	199755	I took on a nights and weekends project at Kickstarter where I was like, we're getting all these incoming projects and most of them are good.
199755	206098	And, you know, we're trying to, in the early days, decide which ones were a Kickstarter project and which ones weren't a Kickstarter project.
206098	207578	And they took this very seriously.
207578	209279	It was like, it has to be a creative project.
